hour,dispatch_energy_cost_approx,reserve_cost_from_flow,dispatch_total_cost_approx
1,42285.5516655494,0,42285.5516655494
2,41894.0139279387,0,41894.0139279387
3,41705.8197156457,0,41705.8197156457
4,41705.8197092075,0,41705.8197092075
5,41705.8197173977,0,41705.8197173977
6,43221.7344553638,0,43221.7344553638
7,47174.7489606614,0,47174.7489606614
8,51397.1336756361,0,51397.1336756361
9,54347.1146111423,0,54347.1146111423
10,55303.4096435743,0,55303.4096435743
11,55303.4096435743,0,55303.4096435743
12,54858.8800695864,0,54858.8800695864
13,53970.3689495662,0,53970.3689495662
14,53970.3689443251,0,53970.3689443251
15,54347.1146116918,0,54347.1146116918
16,58192.7415808481,0,58192.7415808481
17,63839.490316805,0,63839.490316805
18,69114.7068431467,0,69114.7068431467
19,71272.8060241885,0,71272.8060241885
20,69114.7068380129,0,69114.7068380129
21,58192.7415808691,0,58192.7415808691
22,51397.1336756672,0,51397.1336756672
23,47174.7489607796,0,47174.7489607796
24,45068.2134130412,0,45068.2134130412
